Date,Open,Close,High,Low,Volume
2023-08-09,15034.26,15100.0,15111.46,14974.79,2055160031
2023-08-10,15252.18,15282.81,15290.82,15179.0,2919015010
2023-08-11,15387.75,15330.13,15411.86,15309.35,3371131759
2023-08-14,15126.72,15148.63,15314.31,15042.08,2966056554
2023-08-15,14868.63,14853.13,14997.18,14830.49,3808818910
2023-08-16,14982.79,15002.33,15091.44,14828.02,4347998547
2023-08-17,15082.54,15027.16,15092.27,14998.58,2120495567
2023-08-18,15071.35,15055.05,15078.57,15052.89,3493023665
2023-08-21,15219.17,15292.64,15331.59,15185.26,3475108062
2023-08-22,15102.25,15062.68,15250.31,15047.97,3316488964
2023-08-23,14585.7,14469.2,14589.27,14392.42,1823898294
2023-08-24,14412.91,14400.46,14415.15,14317.21,1991710450
2023-08-25,14306.1,14326.34,14397.13,14265.18,3853794240
2023-08-28,14283.27,14302.52,14324.41,14250.8,3820842483
2023-08-29,14351.94,14382.58,14425.23,14284.33,2747120519
2023-08-30,14161.04,14129.05,14168.53,14067.74,2487138241
2023-08-31,13984.52,13975.29,13988.76,13973.95,2810303971
2023-09-01,14111.22,14121.75,14174.82,14097.31,3623054008
2023-09-05,14130.41,14093.16,14145.79,14076.48,3280689137
2023-09-06,13811.73,13838.5,13906.19,13778.82,3347203423
2023-09-07,13799.14,13706.04,13866.16,13640.91,3655644242
2023-09-08,13799.13,13853.14,13942.89,13757.28,3414076584
2023-09-11,13914.9,13881.91,13947.85,13832.95,2664869398
2023-09-12,14080.14,13980.08,14082.88,13927.03,1946223009
2023-09-13,14156.31,14163.61,14177.08,14136.23,3608254922
2023-09-14,14164.12,14228.02,14252.75,14145.57,2546574099
2023-09-15,14377.77,14380.84,14445.02,14329.2,4428913034
2023-09-18,14560.18,14564.78,14617.63,14542.81,3876266135
2023-09-19,14469.15,14459.33,14516.12,14441.99,4404079446
2023-09-20,14535.98,14525.07,14621.46,14456.66,1908754913
2023-09-21,14293.44,14334.08,14390.22,14282.33,3134676004
2023-09-22,14204.52,14142.12,14251.55,14032.57,4437357890
2023-09-25,14121.63,14101.38,14122.58,14099.2,1995487262
2023-09-26,14115.75,14159.84,14229.39,14069.1,4317695118
2023-09-27,14097.02,14150.82,14200.48,14071.35,3479948083
2023-09-28,14016.68,14024.96,14030.82,13911.3,3491057270
2023-09-29,14168.55,14127.35,14234.32,14091.69,2855940688
2023-10-02,13991.32,14018.62,14035.22,13915.32,4384029342
2023-10-03,14347.87,14313.41,14361.3,14307.27,2798845288
2023-10-04,14183.87,14212.47,14305.13,14106.1,3759401920
2023-10-05,14172.85,14174.36,14281.21,14146.45,3874577058
2023-10-06,14114.05,14130.42,14182.49,14059.66,3489372939
2023-10-09,14244.19,14266.62,14305.37,14158.48,3867983465
2023-10-10,14340.43,14314.49,14390.91,14269.44,2227154783
2023-10-11,14758.01,14758.94,14768.51,14739.36,3799014746
2023-10-12,14692.62,14742.25,14806.04,14662.3,2687055820
2023-10-13,14700.33,14789.81,14817.69,14683.26,2468317385
2023-10-16,14775.41,14736.25,14803.36,14692.17,4287431790
2023-10-17,14848.39,14792.59,14898.59,14727.87,4226187750
2023-10-18,14892.42,14790.21,14916.06,14743.71,2721541900
2023-10-19,14711.92,14675.11,14722.37,14607.25,3251426566
2023-10-20,14742.55,14711.73,14812.75,14584.06,4067132011
2023-10-23,14345.42,14326.51,14371.24,14277.61,3374307849
2023-10-24,14311.71,14265.58,14343.79,14199.7,4454349810
2023-10-25,14183.45,14180.89,14183.84,14177.94,1953957109
2023-10-26,14496.46,14477.56,14554.0,14467.37,2314050236
2023-10-27,14426.47,14455.61,14479.01,14425.23,1989032197
2023-10-30,14692.96,14700.39,14740.62,14683.56,4374720484
2023-10-31,15023.16,15087.55,15187.91,14971.74,2941630221
2023-11-01,14964.71,14887.81,14983.81,14836.76,4164326465
2023-11-02,14723.84,14692.11,14744.18,14630.55,2177725817
2023-11-03,14361.34,14433.03,14452.77,14328.24,3484923958
2023-11-06,14367.87,14404.93,14430.55,14330.63,2779607500
2023-11-07,13870.54,14025.55,14066.7,13867.73,1971347344
2023-11-08,14052.34,14059.51,14104.45,13935.43,3559099728
2023-11-09,14132.43,14110.87,14145.82,13989.6,4122551526
2023-11-10,14082.47,14043.82,14094.47,14039.33,1948893274
2023-11-13,14042.18,14011.65,14108.12,13969.78,3688362570
2023-11-14,13952.19,13980.31,13981.97,13893.48,4397355864
2023-11-15,14095.08,14095.94,14120.4,13943.16,3331040602
2023-11-16,13837.38,13779.05,13864.74,13676.05,1970015833
2023-11-17,13762.82,13851.2,13929.38,13699.81,3153733294
2023-11-20,13802.34,13816.74,13895.58,13721.9,2131619587
2023-11-21,13803.45,13842.63,13861.31,13708.46,3250175033
2023-11-22,14042.58,14011.98,14057.79,13902.32,4186763909
2023-11-24,13759.1,13782.59,13912.01,13697.0,2335815234
2023-11-27,14253.29,14280.05,14357.27,14242.56,4163425379
2023-11-28,14244.3,14288.04,14335.96,14203.22,3248329516
2023-11-29,14392.86,14288.63,14414.36,14238.51,3396925185
2023-11-30,14276.07,14201.38,14318.82,14183.97,2174755510
2023-12-01,14079.53,14131.35,14155.5,14014.54,4384067177
2023-12-04,13974.04,14095.83,14142.85,13958.33,3453172806
2023-12-05,14068.77,14058.04,14215.79,14000.89,3653789350
2023-12-06,14141.4,14176.68,14207.4,14055.01,1945780478
2023-12-07,14300.73,14308.13,14361.98,14196.01,2507213481
2023-12-08,14490.14,14571.46,14623.14,14453.64,1992465003
2023-12-11,14990.55,14952.88,15037.24,14889.25,2154865633
2023-12-12,14972.42,15003.26,15013.1,14959.9,4367788561
2023-12-13,14794.24,14728.57,14860.26,14727.21,1820809097
2023-12-14,14646.31,14644.76,14717.23,14616.46,2608415888
2023-12-15,14766.1,14759.45,14769.95,14591.41,4186217542
2023-12-18,14694.49,14613.59,14717.99,14569.12,2184517404
2023-12-19,14352.33,14239.21,14403.46,14102.09,3350792394
2023-12-20,14206.91,14167.34,14220.49,14147.88,2198967281
2023-12-21,14492.05,14460.51,14570.08,14397.5,3242343470
2023-12-22,14405.65,14408.66,14417.28,14395.55,3093668675
2023-12-26,14542.04,14527.03,14694.78,14381.91,2291030080
2023-12-27,14573.08,14527.42,14594.81,14523.99,4470072956
2023-12-28,14629.45,14576.92,14688.03,14529.12,3807302500
2023-12-29,15265.66,15191.41,15276.54,15163.87,3922308789
2024-01-02,15529.38,15499.76,15562.12,15478.19,3918043590
2024-01-03,15790.79,15825.53,15915.58,15770.16,2102685076
2024-01-04,15667.29,15611.14,15687.41,15519.6,4202497554
2024-01-05,15640.01,15602.66,15706.62,15573.41,4401446715
2024-01-08,15959.72,15885.71,16000.53,15772.29,3413369358
2024-01-09,16175.45,16205.86,16384.16,16121.1,2830094958
2024-01-10,16222.27,16176.07,16277.57,16117.85,2333668118
2024-01-11,15731.08,15664.93,15766.41,15581.35,3233481239
2024-01-12,16334.58,16329.05,16361.5,16251.88,3817383579
2024-01-16,16262.28,16289.25,16302.88,16247.97,3597558829
2024-01-17,16181.38,16127.29,16203.49,16080.8,3554774842
2024-01-18,16048.02,15941.76,16051.6,15756.97,4386976965
2024-01-19,16007.58,15879.57,16022.41,15764.59,4276290741
2024-01-22,15583.26,15727.82,15790.81,15571.46,4100132501
2024-01-23,15638.7,15616.23,15660.88,15597.16,4318627519
2024-01-24,15572.9,15606.21,15692.4,15529.62,2238005435
2024-01-25,15565.81,15591.91,15674.87,15432.99,2613348018
2024-01-26,15608.52,15616.47,15620.52,15607.76,3768673029
2024-01-29,15510.15,15604.62,15783.78,15497.74,4406835687
2024-01-30,15735.57,15741.89,15845.65,15617.06,2143870520
2024-01-31,15939.22,15931.89,15977.86,15875.03,3307421278
2024-02-01,15760.38,15722.29,15764.09,15609.96,2463929672
2024-02-02,15581.35,15653.02,15686.93,15575.52,2712919053
2024-02-05,15729.68,15733.24,15738.26,15656.69,2787198521
2024-02-06,15569.54,15602.61,15648.69,15524.22,3415621833
2024-02-07,15479.91,15472.76,15493.2,15354.04,2281252105
2024-02-08,15483.03,15534.1,15584.93,15431.74,3600244122
2024-02-09,14935.18,14906.16,14983.43,14790.43,3315484213
2024-02-12,15504.8,15461.85,15602.57,15409.68,3457000755
2024-02-13,15589.82,15584.19,15664.73,15516.71,4105905176
2024-02-14,15816.64,15823.67,15930.96,15674.35,3237207249
2024-02-15,15857.32,15872.19,15999.48,15803.65,2118089305
2024-02-16,15933.46,15896.85,15960.16,15878.33,2775356763
2024-02-20,15794.54,15825.85,15919.01,15725.67,2980757528
2024-02-21,15446.93,15379.35,15510.33,15294.47,4384051316
2024-02-22,15801.9,15688.35,15803.2,15658.2,3212160881
2024-02-23,15739.17,15661.51,15743.13,15660.98,4469821953
2024-02-26,15802.32,15771.18,15816.39,15764.53,4233690063
2024-02-27,15707.14,15731.54,15790.72,15702.96,2958608741
2024-02-28,15452.38,15452.29,15519.77,15346.5,1975098442
2024-02-29,15463.78,15399.37,15488.55,15396.42,2039264390
2024-03-01,15517.68,15444.8,15552.78,15358.02,2906960309
2024-03-04,15626.85,15697.45,15723.72,15625.08,2851140401
2024-03-05,15921.41,15903.73,15940.0,15804.64,2021763992
2024-03-06,15694.6,15720.31,15727.84,15655.69,3040507825
2024-03-07,15614.34,15619.76,15632.53,15561.46,2433152210
2024-03-08,15745.91,15770.89,15841.73,15687.06,2751034232
2024-03-11,15786.99,15729.93,15821.86,15621.75,2830748960
2024-03-12,16070.55,16095.02,16157.64,16030.13,3123717137
2024-03-13,16073.99,16129.46,16142.23,16071.84,2921703217
2024-03-14,16107.16,16147.26,16216.61,16064.08,3866431011
2024-03-15,15760.92,15788.67,15907.63,15718.16,3067123570
2024-03-18,15737.27,15777.87,15791.81,15723.42,2005174946
2024-03-19,15985.59,15931.55,16004.29,15855.79,3694643715
2024-03-20,15997.4,16047.62,16189.75,15953.89,4301177890
2024-03-21,16333.52,16334.13,16388.68,16297.07,2167291677
2024-03-22,16074.8,16092.04,16128.55,15971.05,2081096780
2024-03-25,16714.46,16534.41,16720.57,16519.9,2693096916
2024-03-26,16869.27,16744.65,16873.08,16664.82,2634434035
2024-03-27,16617.68,16716.67,16728.53,16599.59,3901482533
2024-03-28,16625.85,16757.21,16876.81,16613.02,2131022308
2024-03-29,17297.19,17184.58,17333.51,17174.83,2147169800
2024-04-01,17281.6,17185.5,17307.22,17173.33,2955353059
2024-04-02,17046.96,17129.16,17130.91,17026.74,2725425893
2024-04-03,17058.28,17058.33,17116.4,16978.63,2936802396
2024-04-04,17486.17,17450.42,17538.99,17447.39,1934384127
2024-04-05,17119.02,17122.44,17170.17,17092.37,2156238558
2024-04-08,17384.63,17303.27,17386.96,17261.33,2916207613
2024-04-09,17648.58,17541.47,17687.11,17442.31,3193560172
2024-04-10,17573.71,17508.17,17646.37,17387.88,2452438848
2024-04-11,17257.23,17334.56,17525.46,17200.41,3991939940
2024-04-12,17371.31,17368.59,17449.72,17360.09,2403209878
2024-04-15,17246.86,17362.66,17378.7,17206.96,4196194476
2024-04-16,17731.89,17779.73,17857.3,17713.17,3613955783
2024-04-17,17290.56,17292.93,17388.77,17193.74,4075566877
2024-04-18,16832.04,16769.52,16868.1,16692.82,2450705979
2024-04-19,17194.11,17113.86,17240.44,16969.5,2789913728
2024-04-22,17547.66,17538.25,17549.38,17534.94,4257827973
2024-04-23,17931.58,18012.54,18184.47,17922.44,3088391818
2024-04-24,18149.37,18109.94,18211.99,17978.2,2653321671
2024-04-25,18273.75,18318.3,18358.56,18261.5,2905971404
2024-04-26,18241.39,18353.65,18376.43,18240.13,3812181333
2024-04-29,18416.22,18540.33,18632.91,18373.46,3505847431
2024-04-30,18398.37,18329.15,18480.98,18266.35,4120233894
2024-05-01,18234.51,18204.01,18271.34,18141.82,2594006393
2024-05-02,17972.56,17998.58,18057.9,17940.23,3851360984
2024-05-03,17837.83,17856.3,17888.94,17762.85,1879618552
2024-05-06,18088.14,17947.83,18163.75,17757.71,3900637200
2024-05-07,17991.88,17849.99,17998.92,17640.41,2606108267
2024-05-08,17696.63,17695.17,17716.42,17568.08,3861376256
2024-05-09,18021.28,17967.51,18023.38,17893.4,3288626823
2024-05-10,17768.67,17854.99,17888.05,17761.6,1906282480
2024-05-13,18131.23,18080.49,18173.57,18061.17,4413808539
2024-05-14,18060.62,18077.63,18097.01,18048.29,2024390025
2024-05-15,18118.67,18117.03,18119.92,18116.61,3122368257
2024-05-16,17939.56,17939.63,18001.02,17910.04,2448222239
2024-05-17,17399.01,17390.15,17510.67,17313.33,4426665127
2024-05-20,17543.89,17502.3,17599.83,17487.42,2517477928
2024-05-21,17757.42,17735.61,17918.83,17682.2,2160452349
2024-05-22,17559.96,17576.34,17761.6,17547.91,2884647709
2024-05-23,17415.77,17485.76,17597.66,17356.1,3072215114
2024-05-24,17350.26,17389.7,17414.33,17316.18,1990541966
2024-05-28,17661.3,17626.84,17736.98,17556.47,4185847343
2024-05-29,17732.75,17736.37,17775.33,17587.63,2780998791
2024-05-30,17892.06,17929.77,18060.26,17844.74,3721046941
2024-05-31,17684.86,17615.24,17704.8,17520.46,3038570057
2024-06-03,18065.04,18100.74,18156.17,17945.52,2700525438
2024-06-04,18188.29,18191.27,18271.25,18186.27,3664266333
2024-06-05,18283.75,18396.28,18429.25,18258.81,4281741206
2024-06-06,18089.86,18040.8,18143.81,17941.32,3508483895
2024-06-07,18180.15,18049.05,18202.47,17904.87,2990076826
2024-06-10,17874.9,18000.23,18011.17,17870.0,2712644290
2024-06-11,17799.58,17908.18,17908.94,17785.07,2647060021
2024-06-12,17926.09,17904.14,18059.44,17889.53,3427759353
2024-06-13,17904.55,17825.1,17906.61,17698.9,2337542282
2024-06-14,17628.62,17649.49,17664.61,17618.05,2002686752
2024-06-17,17460.02,17469.61,17477.51,17398.68,4035676003
2024-06-18,17687.37,17664.07,17758.39,17583.41,3381816067
2024-06-19,17649.06,17730.51,17768.61,17573.81,2648734724
2024-06-20,17916.53,17868.67,17931.62,17808.79,2535251654
2024-06-21,17750.59,17796.16,17916.09,17718.6,2115908764
2024-06-24,17954.27,18027.69,18035.29,17937.91,2719821114
2024-06-25,17947.79,17994.17,18045.37,17919.4,3889381856
2024-06-26,17733.13,17721.63,17794.68,17547.0,3916537083
2024-06-27,17494.24,17429.82,17555.66,17411.7,2411207276
2024-06-28,17094.81,17095.39,17104.29,16958.06,2420811151
2024-07-01,16839.46,16948.98,17066.58,16836.59,3974757557
2024-07-02,16976.8,17008.36,17133.54,16951.44,3751943652
2024-07-03,17115.49,17157.01,17165.78,17099.15,3699782212
2024-07-05,17043.69,17023.54,17125.31,16963.06,3359810184
2024-07-08,17025.95,17018.75,17109.32,16997.52,2097802939
2024-07-09,17087.4,16990.46,17154.56,16901.25,2646841336
2024-07-10,17152.08,17062.46,17166.94,17020.18,3080846534
2024-07-11,17458.87,17462.42,17465.19,17331.8,4423057847
2024-07-12,17629.89,17672.81,17715.44,17558.9,1878746085
2024-07-15,18066.3,17993.91,18108.17,17971.09,4442393734
2024-07-16,18150.17,18235.76,18296.57,18102.41,4490804692
2024-07-17,18227.94,18362.05,18391.13,18167.37,4325008589
2024-07-18,18731.29,18551.58,18743.47,18477.14,1964139640
2024-07-19,18496.46,18495.91,18541.98,18493.39,2033258172
2024-07-22,18102.78,18040.15,18136.65,17933.17,2880888369
2024-07-23,18413.68,18403.1,18585.65,18332.08,3254266207
2024-07-24,18217.63,18314.61,18488.73,18173.81,4040740089
2024-07-25,18669.33,18554.21,18733.71,18358.98,2152884729
2024-07-26,18468.29,18432.09,18510.75,18300.51,4422519122
