Date,Open,Close,High,Low,Volume
2023-08-09,4802.13,4795.7,4806.14,4790.96,3997131880
2023-08-10,4831.78,4833.49,4853.74,4824.05,3838819337
2023-08-11,4826.19,4842.58,4856.94,4796.5,2867912265
2023-08-14,4791.47,4805.32,4826.38,4763.46,2763372223
2023-08-15,4730.73,4727.16,4762.63,4713.75,2694817234
2023-08-16,4775.26,4760.07,4794.87,4726.83,5281973370
2023-08-17,4754.76,4769.24,4802.02,4748.23,3102941113
2023-08-18,4805.27,4792.47,4816.21,4791.68,3606733496
2023-08-21,4831.86,4855.35,4880.68,4827.25,3427872152
2023-08-22,4813.12,4791.61,4827.43,4765.42,4970018198
2023-08-23,4655.3,4652.97,4679.91,4635.17,4540326971
2023-08-24,4653.69,4644.23,4673.81,4617.94,3045889409
2023-08-25,4572.11,4611.6,4632.03,4568.6,2872483361
2023-08-28,4606.25,4605.58,4610.38,4596.17,3538069247
2023-08-29,4605.51,4624.68,4666.55,4585.1,4405171274
2023-08-30,4565.3,4568.11,4572.82,4556.71,4007719434
2023-08-31,4542.76,4526.29,4553.61,4521.82,4661898305
2023-09-01,4592.05,4568.86,4601.6,4546.96,2585120463
2023-09-05,4571.29,4565.54,4582.58,4550.22,4800877002
2023-09-06,4516.24,4508.87,4530.77,4491.8,3369014970
2023-09-07,4461.05,4457.54,4479.48,4420.98,3392301614
2023-09-08,4483.27,4488.55,4490.15,4476.81,3112069040
2023-09-11,4501.64,4500.17,4512.14,4472.65,5082332097
2023-09-12,4501.44,4505.56,4511.62,4488.39,3457347659
2023-09-13,4520.51,4527.54,4537.03,4518.74,3370636014
2023-09-14,4521.8,4505.06,4525.7,4496.73,2979098986
2023-09-15,4549.65,4537.71,4556.51,4527.53,3994796626
2023-09-18,4584.77,4595.52,4614.02,4584.08,5335698412
2023-09-19,4583.22,4575.8,4611.3,4567.9,2651621213
2023-09-20,4578.52,4576.01,4608.21,4552.13,4110072247
2023-09-21,4558.26,4555.05,4574.02,4516.19,4791570292
2023-09-22,4512.44,4525.13,4538.47,4506.15,4159668779
2023-09-25,4477.54,4488.48,4501.95,4468.06,5467272101
2023-09-26,4474.89,4496.58,4501.32,4457.71,4884691685
2023-09-27,4457.66,4471.16,4501.5,4446.76,4027367548
2023-09-28,4468.7,4471.43,4473.05,4466.53,3921232451
2023-09-29,4497.13,4502.31,4523.58,4484.22,4339204363
2023-10-02,4475.97,4482.31,4510.64,4461.17,3509120356
2023-10-03,4525.12,4539.76,4562.9,4508.95,4947246499
2023-10-04,4511.69,4512.18,4534.58,4479.6,4890264441
2023-10-05,4536.55,4523.71,4551.98,4522.62,5401212088
2023-10-06,4539.68,4522.79,4555.64,4498.34,4250569831
2023-10-09,4592.62,4579.96,4598.45,4561.74,2943327124
2023-10-10,4576.39,4610.76,4612.05,4571.99,2556812102
2023-10-11,4743.74,4755.39,4760.51,4732.06,4824916905
2023-10-12,4748.25,4778.68,4820.47,4743.45,2914247457
2023-10-13,4783.78,4788.31,4798.58,4767.4,3441257796
2023-10-16,4781.26,4778.12,4806.15,4767.6,4815969352
2023-10-17,4794.33,4789.03,4816.94,4758.95,3076792507
2023-10-18,4805.55,4788.11,4806.24,4780.81,3392843695
2023-10-19,4756.98,4770.84,4777.75,4747.34,3546409522
2023-10-20,4755.65,4762.53,4800.72,4749.4,4529866737
2023-10-23,4733.7,4702.34,4736.55,4673.78,4913847501
2023-10-24,4680.79,4692.84,4702.28,4669.4,3827128335
2023-10-25,4685.72,4680.45,4695.77,4673.99,5299071801
2023-10-26,4759.0,4766.41,4772.26,4740.17,3227374115
2023-10-27,4720.8,4744.91,4767.12,4718.23,3739904098
2023-10-30,4756.16,4789.34,4793.69,4755.96,4151057697
2023-10-31,4890.66,4878.7,4898.67,4832.81,3932345561
2023-11-01,4859.87,4843.7,4874.32,4833.5,5223810876
2023-11-02,4809.29,4801.56,4818.18,4786.07,5310008139
2023-11-03,4699.5,4732.4,4740.67,4690.72,5258904435
2023-11-06,4734.51,4717.83,4737.28,4693.56,5386394140
2023-11-07,4645.75,4622.81,4663.52,4622.38,2821902072
2023-11-08,4619.45,4633.65,4647.26,4586.36,3981737261
2023-11-09,4644.62,4654.67,4694.7,4632.66,2837940283
2023-11-10,4623.23,4626.88,4640.43,4619.29,4709853686
2023-11-13,4624.09,4647.0,4671.79,4613.94,5068439512
2023-11-14,4626.34,4644.69,4682.74,4620.98,4507767560
2023-11-15,4646.63,4652.92,4657.16,4643.15,3282355831
2023-11-16,4571.68,4585.21,4608.47,4555.77,4668647585
2023-11-17,4542.14,4557.84,4574.69,4539.98,2854674543
2023-11-20,4561.32,4551.34,4564.39,4535.16,4610671105
2023-11-21,4547.08,4566.88,4570.68,4537.21,4343876344
2023-11-22,4621.89,4620.01,4624.11,4615.3,4317216844
2023-11-24,4574.84,4572.15,4591.23,4555.8,4492283318
2023-11-27,4703.7,4699.94,4707.67,4676.36,2745610919
2023-11-28,4695.27,4682.11,4707.63,4679.28,2685274142
2023-11-29,4667.42,4683.26,4702.74,4661.19,3484352913
2023-11-30,4660.2,4660.87,4665.26,4653.12,2772824933
2023-12-01,4655.65,4648.38,4678.64,4631.41,3870395427
2023-12-04,4634.4,4631.37,4643.96,4609.41,3687846129
2023-12-05,4590.03,4612.79,4645.54,4587.4,3533586599
2023-12-06,4621.89,4643.87,4671.14,4618.24,5301326687
2023-12-07,4664.19,4660.63,4671.59,4640.01,5434999854
2023-12-08,4711.7,4730.31,4747.61,4689.45,5108860855
2023-12-11,4808.35,4807.51,4825.48,4774.84,4117900791
2023-12-12,4832.46,4828.06,4842.73,4820.53,4086527618
2023-12-13,4754.73,4754.66,4764.29,4754.51,3395088966
2023-12-14,4732.23,4717.46,4740.15,4695.3,3242536115
2023-12-15,4737.72,4739.71,4749.2,4707.45,2838533916
2023-12-18,4698.9,4686.38,4705.02,4652.33,2546937389
2023-12-19,4583.68,4582.26,4585.31,4581.25,4609858800
2023-12-20,4538.48,4542.04,4561.66,4531.38,3151807630
2023-12-21,4598.92,4614.29,4616.83,4591.63,4947358770
2023-12-22,4577.3,4576.52,4589.82,4551.59,3461995346
2023-12-26,4578.01,4593.64,4598.28,4572.26,3401502861
2023-12-27,4658.22,4636.72,4662.64,4612.68,4377979412
2023-12-28,4633.75,4619.26,4636.78,4584.9,4514027574
2023-12-29,4759.28,4772.99,4787.25,4754.37,3629380565
2024-01-02,4807.56,4827.66,4848.74,4789.85,4622730392
2024-01-03,4947.13,4906.84,4949.34,4880.71,4171860274
2024-01-04,4874.81,4872.22,4879.61,4866.03,5266678313
2024-01-05,4859.03,4885.9,4890.27,4851.68,3305384763
2024-01-08,4906.97,4932.93,4959.2,4894.86,4785089252
2024-01-09,4990.44,4971.34,4996.56,4949.71,3498892932
2024-01-10,4970.78,4971.83,4972.61,4924.33,2851948598
2024-01-11,4885.88,4876.07,4900.35,4863.77,3113539428
2024-01-12,5009.26,5022.82,5050.53,4983.9,4100950382
2024-01-16,5016.71,5021.41,5031.03,5002.55,2795824694
2024-01-17,5017.9,4999.48,5023.68,4956.19,3612114764
2024-01-18,4949.79,4953.81,4974.95,4945.49,3282322329
2024-01-19,4917.71,4930.92,4959.73,4910.15,3489595857
2024-01-22,4902.86,4889.32,4919.57,4871.2,4554539837
2024-01-23,4872.76,4866.74,4894.07,4834.59,3971786747
2024-01-24,4904.2,4887.75,4912.65,4882.45,3964948963
2024-01-25,4859.06,4887.03,4913.53,4855.66,2601471271
2024-01-26,4902.73,4876.11,4920.65,4844.62,3737176667
2024-01-29,4818.42,4851.11,4861.94,4818.02,4017198759
2024-01-30,4860.65,4856.15,4878.33,4832.22,3949612460
2024-01-31,4897.21,4918.5,4918.76,4896.95,4088252940
2024-02-01,4902.31,4875.61,4908.58,4875.03,4522098856
2024-02-02,4852.06,4852.48,4894.29,4847.56,2946692457
2024-02-05,4834.88,4849.32,4865.97,4823.54,3690689267
2024-02-06,4835.58,4821.45,4835.92,4801.32,3177571757
2024-02-07,4840.53,4813.38,4849.63,4785.43,4778757550
2024-02-08,4838.22,4852.91,4864.04,4836.69,2528350517
2024-02-09,4713.79,4704.77,4719.87,4691.66,4197569883
2024-02-12,4813.9,4837.48,4841.96,4812.65,3134251167
2024-02-13,4829.44,4848.95,4890.98,4826.43,2723044179
2024-02-14,4860.65,4885.94,4930.07,4858.29,5286299083
2024-02-15,4940.47,4920.26,4953.89,4899.73,4638134199
2024-02-16,4890.84,4894.69,4897.52,4888.72,5003951680
2024-02-20,4902.66,4880.92,4913.6,4868.83,2919851782
2024-02-21,4861.31,4826.72,4862.88,4801.71,2661089295
2024-02-22,4931.72,4910.32,4942.02,4897.45,5364575190
2024-02-23,4925.01,4918.0,4946.55,4916.91,5477757635
2024-02-26,4928.74,4943.73,4957.72,4906.72,4539084574
